impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.935,207.486
nccl,512,2048,4.959,412.978
nccl,1024,4096,4.885,838.451
nccl,2048,8192,4.865,1683.888
nccl,4096,16384,5.164,3172.644
nccl,8192,32768,5.150,6362.915
nccl,16384,65536,5.159,12702.306
nccl,32768,131072,5.025,26085.685
nccl,65536,262144,5.411,48447.307
nccl,131072,524288,5.815,90160.855
nccl,262144,1048576,5.735,182832.946
nccl,524288,2097152,5.480,382688.406
nccl,1048576,4194304,5.430,772434.074
nccl,2097152,8388608,5.145,1630415.759
nccl,4194304,16777216,5.480,3061507.252
nccl,8388608,33554432,5.165,6496076.084
nccl,16777216,67108864,5.440,12337277.086
nccl,33554432,134217728,5.571,24093727.944
nccl,67108864,268435456,5.665,47386359.716
nccl,134217728,536870912,5.749,93377558.104
nccl,268435456,1073741824,5.186,207062051.833
nccl,536870912,2147483648,5.355,401032914.281
nccl,1073741824,4294967296,5.095,842976065.020
naive,256,1024,246.490,4.154
naive,512,2048,232.110,8.823
naive,1024,4096,237.205,17.268
naive,2048,8192,245.794,33.329
naive,4096,16384,245.705,66.682
naive,8192,32768,264.804,123.744
naive,16384,65536,262.755,249.419
naive,32768,131072,271.014,483.636
naive,65536,262144,280.664,934.014
naive,131072,524288,285.749,1834.782
naive,262144,1048576,2563.186,409.091
naive,524288,2097152,2235.200,938.239
naive,1048576,4194304,2673.465,1568.864
naive,2097152,8388608,2621.599,3199.805
naive,4194304,16777216,3129.700,5360.646
naive,8388608,33554432,3668.154,9147.497
naive,16777216,67108864,4493.660,14934.122
naive,33554432,134217728,6408.905,20942.381
naive,67108864,268435456,8688.830,30894.315
naive,134217728,536870912,15212.865,35290.586
naive,268435456,1073741824,27612.646,38885.873
naive,536870912,2147483648,53458.641,40170.936
naive,1073741824,4294967296,101522.845,42305.427
ring_p2p,256,1024,294.085,3.482
ring_p2p,512,2048,301.940,6.783
ring_p2p,1024,4096,293.264,13.967
ring_p2p,2048,8192,292.445,28.012
ring_p2p,4096,16384,279.410,58.638
ring_p2p,8192,32768,269.721,121.489
ring_p2p,16384,65536,264.500,247.773
ring_p2p,32768,131072,266.050,492.659
ring_p2p,65536,262144,270.075,970.635
ring_p2p,131072,524288,283.126,1851.786
ring_p2p,262144,1048576,2545.325,411.962
ring_p2p,524288,2097152,2327.086,901.192
ring_p2p,1048576,4194304,2276.075,1842.779
ring_p2p,2097152,8388608,2496.735,3359.831
ring_p2p,4194304,16777216,3007.225,5578.970
ring_p2p,8388608,33554432,3528.385,9509.855
ring_p2p,16777216,67108864,4151.220,16166.057
ring_p2p,33554432,134217728,4993.185,26880.184
ring_p2p,67108864,268435456,7956.624,33737.356
ring_p2p,134217728,536870912,13711.655,39154.348
ring_p2p,268435456,1073741824,24092.525,44567.426
ring_p2p,536870912,2147483648,46506.770,46175.722
ring_p2p,1073741824,4294967296,87843.089,48893.628
ring_p2p_o3,256,1024,302.761,3.382
ring_p2p_o3,512,2048,352.809,5.805
ring_p2p_o3,1024,4096,353.035,11.602
ring_p2p_o3,2048,8192,353.684,23.162
ring_p2p_o3,4096,16384,313.461,52.268
ring_p2p_o3,8192,32768,358.330,91.446
ring_p2p_o3,16384,65536,335.355,195.423
ring_p2p_o3,32768,131072,334.285,392.096
ring_p2p_o3,65536,262144,338.085,775.380
ring_p2p_o3,131072,524288,357.549,1466.338
ring_p2p_o3,262144,1048576,2468.436,424.794
ring_p2p_o3,524288,2097152,2444.916,857.760
ring_p2p_o3,1048576,4194304,2878.575,1457.076
ring_p2p_o3,2097152,8388608,2692.266,3115.818
ring_p2p_o3,4194304,16777216,2700.790,6211.966
ring_p2p_o3,8388608,33554432,3399.600,9870.112
ring_p2p_o3,16777216,67108864,3941.740,17025.189
ring_p2p_o3,33554432,134217728,5182.490,25898.307
ring_p2p_o3,67108864,268435456,8252.605,32527.359
ring_p2p_o3,134217728,536870912,13599.035,39478.605
ring_p2p_o3,268435456,1073741824,24426.895,43957.360
ring_p2p_o3,536870912,2147483648,45974.311,46710.513
ring_p2p_o3,1073741824,4294967296,88205.370,48692.810
