impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.926,207.888
nccl,512,2048,5.465,374.779
nccl,1024,4096,5.000,819.259
nccl,2048,8192,5.025,1630.355
nccl,4096,16384,5.125,3196.998
nccl,8192,32768,5.034,6509.067
nccl,16384,65536,5.126,12785.019
nccl,32768,131072,5.350,24498.922
nccl,65536,262144,5.535,47362.121
nccl,131072,524288,5.856,89536.778
nccl,262144,1048576,6.000,174768.389
nccl,524288,2097152,5.776,363099.815
nccl,1048576,4194304,5.815,721286.841
nccl,2097152,8388608,5.696,1472765.680
nccl,4194304,16777216,5.804,2890480.352
nccl,8388608,33554432,5.740,5845793.909
nccl,16777216,67108864,5.645,11889122.564
nccl,33554432,134217728,5.245,25588634.246
nccl,67108864,268435456,5.234,51282163.828
nccl,134217728,536870912,5.231,102634449.120
nccl,268435456,1073741824,5.485,195766121.598
nccl,536870912,2147483648,6.590,325875515.729
nccl,1073741824,4294967296,5.770,744396632.623
naive,256,1024,237.360,4.314
naive,512,2048,242.970,8.429
naive,1024,4096,240.984,16.997
naive,2048,8192,243.499,33.643
naive,4096,16384,253.400,64.657
naive,8192,32768,250.496,130.813
naive,16384,65536,257.235,254.771
naive,32768,131072,274.980,476.660
naive,65536,262144,273.975,956.817
naive,131072,524288,292.020,1795.385
naive,262144,1048576,2030.729,516.354
naive,524288,2097152,2120.116,989.169
naive,1048576,4194304,2488.174,1685.695
naive,2097152,8388608,2791.386,3005.177
naive,4194304,16777216,2535.704,6616.393
naive,8388608,33554432,3187.090,10528.234
naive,16777216,67108864,3992.660,16808.059
naive,33554432,134217728,5267.354,25481.052
naive,67108864,268435456,8346.610,32161.016
naive,134217728,536870912,14283.220,37587.528
naive,268435456,1073741824,26417.720,40644.757
naive,536870912,2147483648,51398.085,41781.394
naive,1073741824,4294967296,98623.095,43549.306
pipelined,256,1024,898.360,1.140
pipelined,512,2048,887.740,2.307
pipelined,1024,4096,907.094,4.516
pipelined,2048,8192,833.795,9.825
pipelined,4096,16384,803.335,20.395
pipelined,8192,32768,809.059,40.501
pipelined,16384,65536,811.685,80.741
pipelined,32768,131072,826.395,158.607
pipelined,65536,262144,875.380,299.463
pipelined,131072,524288,930.035,563.729
pipelined,262144,1048576,2853.665,367.449
pipelined,524288,2097152,2765.685,758.276
pipelined,1048576,4194304,2870.264,1461.296
pipelined,2097152,8388608,3855.350,2175.836
pipelined,4194304,16777216,3736.961,4489.535
pipelined,8388608,33554432,4554.039,7368.059
pipelined,16777216,67108864,7570.250,8864.815
pipelined,33554432,134217728,9662.105,13891.148
pipelined,67108864,268435456,12834.585,20915.009
pipelined,134217728,536870912,19164.360,28014.028
pipelined,268435456,1073741824,30631.480,35053.540
pipelined,536870912,2147483648,53369.089,40238.342
pipelined,1073741824,4294967296,101410.615,42352.246
