impl,input_size,input_bytes,avg_latency,throughput
ring_p2p,256,1024,88.470,11.575
ring_p2p,512,2048,87.335,23.450
ring_p2p,1024,4096,86.535,47.333
ring_p2p,2048,8192,87.980,93.112
ring_p2p,4096,16384,86.186,190.101
ring_p2p,8192,32768,87.199,375.783
ring_p2p,16384,65536,87.850,745.998
ring_p2p,32768,131072,89.099,1471.076
ring_p2p,65536,262144,92.505,2833.829
ring_p2p,131072,524288,98.436,5326.188
ring_p2p,262144,1048576,637.090,1645.883
ring_p2p,524288,2097152,652.435,3214.347
ring_p2p,1048576,4194304,805.825,5204.981
ring_p2p,2097152,8388608,854.390,9818.246
ring_p2p,4194304,16777216,860.895,19488.111
ring_p2p,8388608,33554432,1096.495,30601.526
ring_p2p,16777216,67108864,1490.805,45015.181
ring_p2p,33554432,134217728,2303.680,58262.310
ring_p2p,67108864,268435456,4110.615,65302.987
ring_p2p,134217728,536870912,7478.189,71791.563
ring_p2p,268435456,1073741824,14546.776,73813.045
ring_p2p,536870912,2147483648,28843.350,74453.336
ring_p2p,1073741824,4294967296,55888.860,76848.361
