impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.960,206.439
nccl,512,2048,5.274,388.333
nccl,1024,4096,5.145,796.101
nccl,2048,8192,4.950,1655.093
nccl,4096,16384,5.111,3205.947
nccl,8192,32768,5.200,6301.648
nccl,16384,65536,5.131,12773.137
nccl,32768,131072,5.289,24780.519
nccl,65536,262144,5.620,46648.775
nccl,131072,524288,5.800,90401.778
nccl,262144,1048576,5.890,178022.526
nccl,524288,2097152,5.900,355469.510
nccl,1048576,4194304,6.025,696168.819
nccl,2097152,8388608,5.349,1568280.459
nccl,4194304,16777216,5.436,3086348.429
nccl,8388608,33554432,5.469,6135025.648
nccl,16777216,67108864,5.726,11720798.531
nccl,33554432,134217728,5.186,25882756.479
nccl,67108864,268435456,5.150,52124995.687
nccl,134217728,536870912,5.136,104540381.322
nccl,268435456,1073741824,5.170,207682712.814
nccl,536870912,2147483648,5.165,415748869.363
nccl,1073741824,4294967296,5.449,788203828.899
naive,256,1024,241.190,4.246
naive,512,2048,240.165,8.527
naive,1024,4096,239.584,17.096
naive,2048,8192,247.854,33.052
naive,4096,16384,247.074,66.312
naive,8192,32768,258.055,126.981
naive,16384,65536,264.599,247.680
naive,32768,131072,266.590,491.661
naive,65536,262144,269.355,973.230
naive,131072,524288,289.210,1812.828
naive,262144,1048576,1936.699,541.424
naive,524288,2097152,1987.275,1055.290
naive,1048576,4194304,2151.074,1949.865
naive,2097152,8388608,2597.965,3228.915
naive,4194304,16777216,2462.626,6812.735
naive,8388608,33554432,3055.744,10980.773
naive,16777216,67108864,3845.680,17450.456
naive,33554432,134217728,5066.119,26493.202
naive,67108864,268435456,8115.046,33078.735
naive,134217728,536870912,14008.390,38324.955
naive,268435456,1073741824,26066.484,41192.430
naive,536870912,2147483648,50073.304,42886.797
naive,1073741824,4294967296,97281.539,44149.870
pipelined,256,1024,552.135,1.855
pipelined,512,2048,522.050,3.923
pipelined,1024,4096,431.814,9.486
pipelined,2048,8192,448.929,18.248
pipelined,4096,16384,440.739,37.174
pipelined,8192,32768,446.576,73.376
pipelined,16384,65536,447.481,146.455
pipelined,32768,131072,451.845,290.082
pipelined,65536,262144,467.319,560.952
pipelined,131072,524288,484.400,1082.346
pipelined,262144,1048576,2280.155,459.870
pipelined,524288,2097152,2418.835,867.009
pipelined,1048576,4194304,2810.576,1492.329
pipelined,2097152,8388608,2624.869,3195.819
pipelined,4194304,16777216,4747.860,3533.637
pipelined,8388608,33554432,5504.315,6096.023
pipelined,16777216,67108864,6480.640,10355.283
pipelined,33554432,134217728,7587.065,17690.337
pipelined,67108864,268435456,10456.334,25672.042
pipelined,134217728,536870912,16228.504,33081.971
pipelined,268435456,1073741824,28018.470,38322.643
pipelined,536870912,2147483648,52222.575,41121.750
pipelined,1073741824,4294967296,102390.901,41946.767
