impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.674,219.075
nccl,512,2048,4.815,425.350
nccl,1024,4096,4.755,861.362
nccl,2048,8192,4.870,1682.239
nccl,4096,16384,4.840,3385.196
nccl,8192,32768,4.865,6735.553
nccl,16384,65536,5.040,13002.739
nccl,32768,131072,5.164,25381.155
nccl,65536,262144,5.120,51199.610
nccl,131072,524288,5.715,91740.645
nccl,262144,1048576,5.695,184134.248
nccl,524288,2097152,5.181,404790.291
nccl,1048576,4194304,6.324,663230.388
nccl,2097152,8388608,5.375,1560628.613
nccl,4194304,16777216,5.480,3061507.252
nccl,8388608,33554432,5.420,6190344.770
nccl,16777216,67108864,5.445,12323773.061
nccl,33554432,134217728,5.161,26008313.856
nccl,67108864,268435456,5.170,51920678.203
nccl,134217728,536870912,5.095,105372008.128
nccl,268435456,1073741824,5.220,205690779.967
nccl,536870912,2147483648,6.585,326111486.414
nccl,1073741824,4294967296,5.320,807277549.159
naive,256,1024,241.635,4.238
naive,512,2048,243.801,8.400
naive,1024,4096,239.769,17.083
naive,2048,8192,245.805,33.327
naive,4096,16384,253.090,64.736
naive,8192,32768,269.510,121.584
naive,16384,65536,261.335,250.774
naive,32768,131072,268.015,489.048
naive,65536,262144,262.434,998.893
naive,131072,524288,272.164,1926.365
naive,262144,1048576,1890.125,554.765
naive,524288,2097152,1964.846,1067.337
naive,1048576,4194304,2013.454,2083.138
naive,2097152,8388608,2045.914,4100.176
naive,4194304,16777216,2401.465,6986.242
naive,8388608,33554432,2857.590,11742.215
naive,16777216,67108864,3721.554,18032.483
naive,33554432,134217728,4925.925,27247.216
naive,67108864,268435456,7837.709,34249.224
naive,134217728,536870912,13491.665,39792.784
naive,268435456,1073741824,25559.425,42009.623
naive,536870912,2147483648,49547.120,43342.249
naive,1073741824,4294967296,98208.276,43733.252
pipelined,256,1024,613.434,1.669
pipelined,512,2048,551.159,3.716
pipelined,1024,4096,474.980,8.624
pipelined,2048,8192,482.475,16.979
pipelined,4096,16384,481.025,34.061
pipelined,8192,32768,491.536,66.665
pipelined,16384,65536,491.015,133.471
pipelined,32768,131072,495.964,264.277
pipelined,65536,262144,508.865,515.154
pipelined,131072,524288,525.420,997.846
pipelined,262144,1048576,2279.615,459.979
pipelined,524288,2097152,2361.505,888.057
pipelined,1048576,4194304,2455.544,1708.095
pipelined,2097152,8388608,2598.879,3227.779
pipelined,4194304,16777216,4470.395,3752.961
pipelined,8388608,33554432,5190.290,6464.847
pipelined,16777216,67108864,5807.844,11554.866
pipelined,33554432,134217728,7535.629,17811.084
pipelined,67108864,268435456,10046.769,26718.584
pipelined,134217728,536870912,15887.375,33792.298
pipelined,268435456,1073741824,27528.965,39004.075
pipelined,536870912,2147483648,50712.315,42346.394
pipelined,1073741824,4294967296,99828.640,43023.398
