impl,input_size,input_bytes,avg_latency,throughput
pipelined,256,1024,1017.669,1.006
pipelined,512,2048,899.220,2.278
pipelined,1024,4096,863.415,4.744
pipelined,2048,8192,834.620,9.815
pipelined,4096,16384,768.220,21.327
pipelined,8192,32768,784.955,41.745
pipelined,16384,65536,784.121,83.579
pipelined,32768,131072,815.285,160.768
pipelined,65536,262144,853.059,307.299
pipelined,131072,524288,923.229,567.885
pipelined,262144,1048576,2913.005,359.964
pipelined,524288,2097152,2583.525,811.740
pipelined,1048576,4194304,2682.514,1563.572
pipelined,2097152,8388608,3486.885,2405.760
pipelined,4194304,16777216,3891.206,4311.573
pipelined,8388608,33554432,4186.934,8014.081
pipelined,16777216,67108864,7068.650,9493.873
pipelined,33554432,134217728,9642.049,13920.042
pipelined,67108864,268435456,12857.676,20877.448
pipelined,134217728,536870912,19309.170,27803.935
pipelined,268435456,1073741824,30451.295,35260.957
pipelined,536870912,2147483648,54802.846,39185.623
pipelined,1073741824,4294967296,100727.270,42639.568
